City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alofi,-19.0595,-169.9187,301.09,65,20,5.14,NU,1728769387
84,barentu,15.1139,37.5928,299.09,33,0,2.13,ER,1728769649
85,lihue,21.9789,-159.3672,300.92,69,0,4.12,US,1728769556
86,whitehorse,60.7161,-135.0538,279.87,86,100,9.77,CA,1728769651
87,port elizabeth,-33.918,25.5701,291.1,96,14,2.68,ZA,1728769566
88,lesnoy,57.6198,63.0784,269.64,73,40,0.99,RU,1728769653
89,rio preto da eva,-2.6994,-59.6997,309.69,23,99,2.74,BR,1728769654
90,yerofey pavlovich,53.9667,121.9667,270.76,52,98,1.77,RU,1728769655
91,happy valley-goose bay,53.3168,-60.3315,279.32,87,100,4.63,CA,1728769656
92,mount pearl,47.5166,-52.7813,285.55,96,100,5.36,CA,1728769657
93,karratha,-20.7377,116.8463,300.9,23,33,8.21,AU,1728769658
94,tual,-5.6667,132.75,300.72,80,100,6.77,ID,1728769659
95,puerto armuelles,8.2833,-82.8667,298.76,87,97,3.13,PA,1728769661
96,sultanah,24.4926,39.5857,305.4,12,0,3.09,SA,1728769662
97,fort mcmurray,56.7268,-111.381,284.92,37,100,2.06,CA,1728769520
98,avarua,-21.2078,-159.775,299.18,69,40,7.72,CK,1728769664
99,aykhal,66.0,111.5,253.44,100,69,2.0,RU,1728769665
100,tinghir,31.5157,-5.5343,295.2,26,85,4.77,MA,1728769666
101,cabo san lucas,22.8909,-109.9124,301.89,66,0,4.58,MX,1728769668
102,tvoroyri,61.5556,-6.8111,278.06,62,21,7.99,FO,1728769669
103,chibuto,-24.6867,33.5306,293.85,78,0,2.3,MZ,1728769670
104,faya-largeau,17.9257,19.1043,303.32,12,0,5.68,TD,1728769672
105,praia da vitoria,38.7333,-27.0667,295.29,78,40,5.12,PT,1728769673
106,macau,22.2006,113.5461,299.0,83,40,3.09,MO,1728769674
107,schuyler,42.4167,-76.883,289.14,57,29,1.34,US,1728769675
108,tambopata,-12.7333,-69.1833,300.09,69,75,2.06,PE,1728769676
109,xinyuan,37.3,99.0,273.11,36,0,2.43,CN,1728769677
110,college,64.8569,-147.8028,280.41,55,100,8.75,US,1728769678
111,nabire,-3.3667,135.4833,298.47,92,100,1.48,ID,1728769494
112,sayat,38.7839,63.8803,289.97,36,89,3.07,TM,1728769680
113,seka,17.9285,103.9552,296.44,86,12,1.08,TH,1728769681
114,ust-nera,64.5667,143.2,269.22,96,100,0.91,RU,1728769682
115,kerikeri,-35.2268,173.9474,291.43,65,85,4.02,NZ,1728769684
116,wailua homesteads,22.0669,-159.378,300.59,76,0,4.12,US,1728769389
117,tosontsengel,48.7567,98.2839,275.84,95,100,3.74,MN,1728769686
118,west island,-12.1568,96.8225,299.14,89,20,4.63,CC,1728769687
119,vilyuchinsk,52.9306,158.4028,281.3,92,100,2.75,RU,1728769688
120,fernley,39.608,-119.2518,299.03,16,0,2.68,US,1728769689
121,utrik,11.2278,169.8474,301.47,76,100,6.47,MH,1728769690
122,bomdila,27.25,92.4,280.49,99,98,0.3,IN,1728769691
123,freetown,8.484,-13.2299,298.99,83,75,4.63,SL,1728769692
124,usoke,-5.1667,32.35,297.1,34,35,5.62,TZ,1728769693
125,cartagena del chaira,1.3349,-74.8429,296.63,97,79,2.71,CO,1728769695
126,spring creek,40.7266,-115.5859,298.6,13,75,3.58,US,1728769696
127,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,57,75,4.0,RU,1728769697
128,albany,42.6001,-73.9662,288.96,44,54,0.89,US,1728769460
129,bowen,-20.0167,148.2333,295.37,69,96,3.83,AU,1728769699
130,tazacorte,28.629,-17.9293,296.69,90,20,2.06,ES,1728769700
131,laghouat,33.8,2.8651,297.81,43,42,5.39,DZ,1728769701
132,puerto ayora,-0.7393,-90.3518,295.12,89,93,1.79,EC,1728769702
133,kodinsk,58.6881,99.1844,265.65,85,12,1.58,RU,1728769703
134,kapuskasing,49.4169,-82.4331,281.2,53,40,5.14,CA,1728769704
135,stantsiya novyy afon,43.0806,40.8383,293.95,59,100,2.78,GE,1728769705
136,mil'kovo,55.6078,37.7956,281.12,61,100,6.3,RU,1728769707
137,sinabang,2.4803,96.3801,298.11,90,100,3.09,ID,1728769708
138,lebu,-37.6167,-73.65,284.46,69,0,7.08,CL,1728769709
139,tazovsky,67.4667,78.7,271.33,96,100,7.34,RU,1728769710
140,tibro,58.4245,14.1616,282.0,82,100,0.89,SE,1728769711
141,tofol,5.3248,163.0078,302.25,72,100,5.64,FM,1728769506
142,chadan,51.2833,91.5833,278.62,83,100,1.21,RU,1728769713
143,touros,-5.1989,-35.4608,298.22,83,24,5.74,BR,1728769714
144,buon ma thuot,12.6667,108.05,294.96,92,53,1.84,VN,1728769715
145,haiku-pauwela,20.9219,-156.3051,302.16,65,20,14.31,US,1728769717
146,laizhou,37.1717,119.9214,289.2,76,100,3.19,CN,1728769718
147,port alfred,-33.5906,26.891,290.47,96,53,0.89,ZA,1728769719
148,ribeira grande,38.5167,-28.7,295.8,94,75,10.29,PT,1728769720
149,palmer,42.1584,-72.3287,292.9,18,0,7.2,US,1728769721
150,peniche,39.3558,-9.3811,293.82,81,0,3.51,PT,1728769722
151,mount gambier,-37.8333,140.7667,286.33,49,100,4.39,AU,1728769723
152,paulden,34.8856,-112.4682,303.87,14,97,2.24,US,1728769724
153,tondon,10.3667,-13.35,296.78,95,100,0.61,GN,1728769725
154,izluchinsk,60.9794,76.9242,271.16,80,83,3.59,RU,1728769728
155,isangel,-19.55,169.2667,298.21,73,75,2.57,VU,1728769729
156,puerto deseado,-47.7503,-65.8938,282.93,56,4,8.09,AR,1728769730
157,cannonvale,-20.2833,148.7,296.81,68,92,7.07,AU,1728769731
158,olonkinbyen,70.9221,-8.7187,270.94,93,100,15.78,SJ,1728769732
159,tanjung selor,2.8372,117.3642,296.52,98,80,0.9,ID,1728769733
160,chimbote,-9.0853,-78.5783,291.69,82,70,3.92,PE,1728769734
161,afaahiti,-17.75,-149.2833,296.06,79,81,7.17,PF,1728769735
162,egilsstadir,65.2653,-14.3948,268.1,68,0,4.12,IS,1728769736
163,gadzhiyevo,69.2551,33.3362,276.48,79,4,10.18,RU,1728769737
164,mccook,40.2019,-100.6257,301.18,21,0,6.69,US,1728769739
165,pitimbu,-7.4706,-34.8086,298.13,82,55,4.03,BR,1728769740
166,lyozna,55.0249,30.7956,278.47,90,87,3.89,BY,1728769741
167,port lincoln,-34.7333,135.8667,290.05,70,100,0.86,AU,1728769742
168,chipinge,-20.1883,32.6236,290.28,69,94,2.19,ZW,1728769743
169,quellon,-43.1167,-73.6167,283.1,91,97,1.86,CL,1728769644
170,les trois-ilets,14.539,-61.0361,303.1,70,20,3.6,MQ,1728769745
171,al bardiyah,31.7561,25.0865,297.1,81,12,3.88,LY,1728769746
172,el galpon,-25.3807,-64.6526,299.59,45,35,3.52,AR,1728769747
173,modra,48.334,17.3071,284.03,93,20,1.54,SK,1728769748
174,rexburg,43.826,-111.7897,297.14,19,0,0.0,US,1728769750
175,bredasdorp,-34.5322,20.0403,285.5,93,0,1.02,ZA,1728769751
176,polyarnyy,69.1989,33.4478,276.56,79,5,9.91,RU,1728769752
177,codrington,-38.2667,141.9667,288.04,49,100,5.63,AU,1728769753
178,pathein,16.7833,94.7333,298.04,89,68,1.04,MM,1728769754
179,aasiaat,68.7098,-52.8699,271.62,72,44,5.43,GL,1728769755
180,mehran,33.1222,46.1646,300.43,15,6,2.15,IR,1728769756
181,tari,-11.1105,14.3559,292.46,83,1,1.11,AO,1728769757
182,coahuayana de hidalgo,18.7,-103.6583,303.19,70,48,2.55,MX,1728769758
183,inderbor,48.55,51.7833,275.73,51,0,6.03,KZ,1728769759
184,nova sintra,14.8667,-24.7167,300.66,76,100,2.46,CV,1728769760
185,filadelfia,39.9523,-75.1638,297.62,33,40,4.12,US,1728769560
186,tiksi,71.6872,128.8694,260.45,92,100,3.75,RU,1728769763
187,minot,48.2325,-101.2963,291.27,36,0,11.32,US,1728769617
188,east london,-33.0153,27.9116,291.72,91,5,0.57,ZA,1728769501
189,hithadhoo,-0.6,73.0833,300.9,76,94,6.56,MV,1728769766
190,albert lea,43.648,-93.3683,291.2,55,40,4.63,US,1728769767
191,huedin,46.8667,23.05,280.33,82,0,2.27,RO,1728769768
192,luanco,43.6152,-5.7934,291.25,93,4,3.58,ES,1728769769
193,okola,4.0167,11.3833,293.11,100,100,0.96,CM,1728769770
194,hilo,19.7297,-155.09,301.53,74,40,3.09,US,1728769771
195,nuuk,64.1835,-51.7216,278.49,48,0,2.06,GL,1728769773
196,hobyo,5.3505,48.5268,298.89,87,10,7.92,SO,1728769774
197,lompoc,34.6391,-120.4579,294.0,74,75,7.72,US,1728769775
198,adrar,20.5022,-10.0711,308.56,19,100,8.75,MR,1728769776
199,itoman,26.1247,127.6694,299.31,78,20,1.54,JP,1728769777
200,ulsteinvik,62.3432,5.8487,282.22,70,100,4.31,NO,1728769778
201,ain sukhna,29.6002,32.3167,297.32,73,9,1.86,EG,1728769779
202,muang phon-hong,18.4928,102.4172,296.11,89,7,0.82,LA,1728769780
203,obigarm,38.7173,69.7088,284.14,50,100,2.01,TJ,1728769781
204,papao,-17.75,-149.55,300.97,80,67,7.39,PF,1728769782
205,sokoni,-6.4333,39.55,298.53,83,15,5.77,TZ,1728769783
206,teguise,29.0605,-13.564,295.27,64,20,2.57,ES,1728769785
207,prabumulih,-3.45,104.25,298.06,89,100,1.24,ID,1728769786
208,tsurusaki,33.24,131.6844,289.63,80,71,1.88,JP,1728769787
209,solikamsk,59.6196,56.7729,270.02,75,3,1.56,RU,1728769788
210,port macquarie,-31.4333,152.9167,288.19,94,100,0.89,AU,1728769627
211,mournies,35.4764,24.0092,308.19,83,40,4.12,GR,1728769790
212,bel ombre,-4.6167,55.4167,300.06,83,20,6.17,SC,1728769791
